name,category,homepage_url,listings_url,coverage,focus,est_listings,anti_bot_estimate,already_in_vettr,notes
We Sell Restaurants,Broker Network (Niche),https://www.wesellrestaurants.com/,https://www.wesellrestaurants.com/listings/,US National,Restaurants only,Medium,Low,no,"Restaurant-niche franchise network."
Empire Business Brokers,Broker Network,https://www.empirebb.com/,https://www.empirebb.com/listings/,US National,Main Street SMBs,Small-Medium,Low,no,"Franchise network."
A Neumann & Associates,Broker,https://www.aneumannassociates.com/,https://www.aneumannassociates.com/businesses-for-sale.php,US (Mid-Atlantic/Northeast),Lower-middle-market,Small-Medium,Low,no,"Regional M&A advisory."
Woodbridge International,Broker,https://www.woodbridgegrp.com/,https://www.woodbridgegrp.com/businesses-for-sale/,US National,Lower-middle-market ($5M-$150M),Small,Low-Medium,no,"Auction-style M&A; fewer, larger deals."
Calhoun Companies,Broker,https://www.calhouncompanies.com/,https://www.calhouncompanies.com/businesses-for-sale/,US (Upper Midwest),Main Street + mid-market,Small-Medium,Low,no,"Minnesota-based brokerage."
Apex Business Advisors,Broker,https://www.apexbusinessadvisors.com/,https://www.apexbusinessadvisors.com/business-for-sale/,US (Kansas City region),Main Street SMBs,Small-Medium,Low,no,"Regional brokerage with active blog/listings."
ProNova Partners,Broker,https://pronovapartners.com/,https://pronovapartners.com/listings/,US (California strength),SMBs + lower-middle-market,Medium,Low,no,"Tech-forward brokerage."
Truforte Business Group,Broker,https://www.truforte.com/,https://www.truforte.com/florida-businesses-for-sale/,US (Florida),Main Street SMBs in FL,Small-Medium,Low,no,"Florida-focused."
Website Closers,Broker (Niche),https://www.websiteclosers.com/,https://www.websiteclosers.com/businesses-for-sale/,US National,Online/ecommerce/tech businesses,Medium,Low-Medium,no,"Digital-business brokerage; larger deal sizes."
Business Exits,Broker,https://www.businessexits.com/,https://www.businessexits.com/businesses-for-sale/,US National,Lower-middle-market ($2M-$60M),Small,Low,no,"Lower-mid-market brokerage."
Quiet Light,Broker (Niche),https://quietlight.com/,https://quietlight.com/businesses-for-sale/,US National,Online/ecommerce businesses,Small-Medium,Low-Medium,no,"Digital-business brokerage."
Empire Flippers,Online Marketplace (Niche),https://empireflippers.com/,https://empireflippers.com/marketplace/,US National,Online businesses,Small-Medium,Medium,no,"Curated online-business marketplace; listings partly gated."
Peterson Acquisitions,Broker,https://petersonacquisitions.com/,https://petersonacquisitions.com/businesses-for-sale/,US National,Main Street SMBs,Medium,Low,no,"National brokerage + training arm."
Raincatcher,Broker,https://raincatcher.com/,https://raincatcher.com/businesses-for-sale/,US National,SMBs + lower-middle-market,Small-Medium,Low,no,"National brokerage."
Calder Capital,Broker,https://www.caldergr.com/,https://www.caldergr.com/businesses-for-sale/,US (Midwest strength),Lower-middle-market,Small-Medium,Low,no,"Grand Rapids-based M&A."
Generational Equity,Broker,https://www.genequityco.com/,https://www.genequityco.com/business-for-sale/,US National,Lower-middle-market M&A,Small-Medium,Low-Medium,no,"Large lower-mid-market M&A firm."
Sunbelt (regional sites),Broker Network,https://www.sunbeltnetwork.com/,https://www.sunbeltnetwork.com/business-search/,US Regional,Main Street SMBs,Large,Low,yes,"Individual Sunbelt offices also run local listing sites; network search covers most."
BusinessBroker (BBN) Franchise listings,Marketplace,https://www.businessbroker.net/,https://www.businessbroker.net/franchises-for-sale/,US National,Franchise resale + new,Medium,Low-Medium,yes,"Franchise section of BusinessBroker.net."
USBizSale,Marketplace,https://www.usbizsale.com/,https://www.usbizsale.com/business-for-sale/,US National,Main Street SMBs,Small,Low,no,"Smaller general marketplace - verify activity before scraping."
